Frequency (Hz)	Level (dB)
5.383301	-85.693466
10.766602	-83.294449
16.149902	-70.345062
21.533203	-55.161308
26.916504	-53.199089
32.299805	-51.678955
37.683105	-54.616310
43.066406	-52.209141
48.449707	-43.728500
53.833008	-45.014397
59.216309	-49.796085
64.599609	-47.332874
69.982910	-46.346920
75.366211	-47.775177
80.749512	-50.445919
86.132812	-50.734631
91.516113	-50.719707
96.899414	-50.088799
102.282715	-51.046516
107.666016	-51.611885
113.049316	-51.431038
118.432617	-51.707062
123.815918	-52.154625
129.199219	-53.212387
134.582520	-53.230907
139.965820	-51.981228
145.349121	-51.750393
150.732422	-54.114620
156.115723	-54.231693
161.499023	-53.269417
166.882324	-54.383854
172.265625	-56.587524
177.648926	-58.179852
183.032227	-59.281639
188.415527	-60.675957
193.798828	-62.430752
199.182129	-62.809124
204.565430	-61.921982
209.948730	-61.180061
215.332031	-63.115978
220.715332	-62.974140
226.098633	-61.965698
231.481934	-60.912369
236.865234	-60.734684
242.248535	-61.174797
247.631836	-62.483875
253.015137	-62.865223
258.398438	-63.342251
263.781738	-63.506748
269.165039	-63.915565
274.548340	-65.175217
279.931641	-66.188316
285.314941	-66.831612
290.698242	-66.166481
296.081543	-63.744785
301.464844	-62.746086
306.848145	-63.623413
312.231445	-62.828896
317.614746	-62.724380
322.998047	-62.260666
328.381348	-62.033844
333.764648	-62.087791
339.147949	-61.535378
344.531250	-61.015064
349.914551	-62.148430
355.297852	-62.149651
360.681152	-61.448235
366.064453	-60.915714
371.447754	-61.927242
376.831055	-62.172009
382.214355	-62.552284
387.597656	-63.034081
392.980957	-62.968224
398.364258	-63.076717
403.747559	-63.637589
409.130859	-63.628700
414.514160	-63.477112
419.897461	-63.226299
425.280762	-62.563496
430.664062	-63.045532
436.047363	-63.199047
441.430664	-62.773838
446.813965	-63.224495
452.197266	-64.108521
457.580566	-64.875015
462.963867	-64.726295
468.347168	-65.225693
473.730469	-64.846107
479.113770	-65.156952
484.497070	-65.453720
489.880371	-65.847839
495.263672	-65.173790
500.646973	-65.056770
506.030273	-64.810043
511.413574	-64.482483
516.796875	-64.514320
522.180176	-63.692135
527.563477	-63.508362
532.946777	-63.191528
538.330078	-62.559204
543.713379	-62.091019
549.096680	-61.317097
554.479980	-60.807693
559.863281	-60.090263
565.246582	-60.318283
570.629883	-60.768711
576.013184	-61.537525
581.396484	-61.854328
586.779785	-61.599976
592.163086	-61.348320
597.546387	-61.515949
602.929688	-61.458721
608.312988	-61.345566
613.696289	-61.072197
619.079590	-60.919575
624.462891	-60.760551
629.846191	-61.531578
635.229492	-62.756573
640.612793	-62.952950
645.996094	-63.154594
651.379395	-63.646774
656.762695	-64.441841
662.145996	-64.584396
667.529297	-65.037781
672.912598	-65.705299
678.295898	-66.748505
683.679199	-68.126122
689.062500	-69.884048
694.445801	-71.139511
699.829102	-70.691055
705.212402	-70.104370
710.595703	-69.290184
715.979004	-68.542786
721.362305	-68.266136
726.745605	-67.497375
732.128906	-66.806786
737.512207	-66.204063
742.895508	-65.521439
748.278809	-64.976532
753.662109	-64.275635
759.045410	-63.738201
764.428711	-63.249882
769.812012	-62.987419
775.195312	-62.774612
780.578613	-62.882744
785.961914	-63.542561
791.345215	-64.825119
796.728516	-65.721519
802.111816	-66.918068
807.495117	-67.836761
812.878418	-67.982086
818.261719	-67.205269
823.645020	-66.674881
829.028320	-65.313614
834.411621	-64.973000
839.794922	-65.116264
845.178223	-64.784950
850.561523	-65.694305
855.944824	-66.709770
861.328125	-67.679268
866.711426	-68.294197
872.094727	-69.003304
877.478027	-69.802048
882.861328	-69.167732
888.244629	-70.084236
893.627930	-70.605804
899.011230	-70.772293
904.394531	-70.235252
909.777832	-70.339027
915.161133	-70.037117
920.544434	-70.987381
925.927734	-71.140831
931.311035	-70.141571
936.694336	-69.819016
942.077637	-69.140549
947.460938	-69.286690
952.844238	-69.634537
958.227539	-70.399292
963.610840	-70.612030
968.994141	-71.459579
974.377441	-71.908630
979.760742	-71.941078
985.144043	-71.696037
990.527344	-72.230194
995.910645	-72.073326
1001.293945	-72.476349
1006.677246	-72.641373
1012.060547	-73.364906
1017.443848	-73.763275
1022.827148	-73.763763
1028.210449	-74.038025
1033.593750	-73.593742
1038.977051	-73.489906
1044.360352	-73.320633
1049.743652	-72.763565
1055.126953	-72.784081
1060.510254	-72.952148
1065.893555	-73.210938
1071.276855	-73.395027
1076.660156	-73.875443
1082.043457	-74.116776
1087.426758	-73.959534
1092.810059	-74.137932
1098.193359	-73.349380
1103.576660	-74.880348
1108.959961	-74.178261
1114.343262	-73.951591
1119.726562	-74.212692
1125.109863	-74.768967
1130.493164	-74.735634
1135.876465	-74.762497
1141.259766	-74.057968
1146.643066	-74.172394
1152.026367	-74.080902
1157.409668	-73.737350
1162.792969	-73.219261
1168.176270	-72.668259
1173.559570	-72.726868
1178.942871	-72.288086
1184.326172	-72.061913
1189.709473	-71.377281
1195.092773	-71.030846
1200.476074	-70.958298
1205.859375	-71.501312
1211.242676	-72.528923
1216.625977	-72.954247
1222.009277	-73.327385
1227.392578	-73.968819
1232.775879	-74.565369
1238.159180	-74.449127
1243.542480	-75.037720
1248.925781	-75.941528
1254.309082	-75.762039
1259.692383	-75.731903
1265.075684	-75.298492
1270.458984	-75.183372
1275.842285	-75.340309
1281.225586	-75.435493
1286.608887	-75.362419
1291.992188	-75.244011
1297.375488	-75.876793
1302.758789	-76.247833
1308.142090	-76.850876
1313.525391	-76.896057
1318.908691	-76.566696
1324.291992	-77.493744
1329.675293	-78.252342
1335.058594	-77.846016
1340.441895	-78.117310
1345.825195	-78.399925
1351.208496	-78.055702
1356.591797	-77.836823
1361.975098	-77.791016
1367.358398	-77.151070
1372.741699	-77.662987
1378.125000	-77.766243
1383.508301	-77.500420
1388.891602	-76.455040
1394.274902	-76.561844
1399.658203	-76.599129
1405.041504	-76.129601
1410.424805	-76.509056
1415.808105	-76.837158
1421.191406	-77.285126
1426.574707	-77.471436
1431.958008	-77.577721
1437.341309	-77.635376
1442.724609	-77.422340
1448.107910	-77.184593
1453.491211	-76.867401
1458.874512	-76.069969
1464.257812	-75.478790
1469.641113	-75.519569
1475.024414	-75.035629
1480.407715	-74.037910
1485.791016	-73.945007
1491.174316	-73.681900
1496.557617	-73.726250
1501.940918	-74.937988
1507.324219	-75.689903
1512.707520	-76.561172
1518.090820	-76.479446
1523.474121	-76.304504
1528.857422	-75.822083
1534.240723	-75.526993
1539.624023	-75.229057
1545.007324	-74.891571
1550.390625	-75.260033
1555.773926	-75.637970
1561.157227	-75.549988
1566.540527	-75.599342
1571.923828	-75.988716
1577.307129	-76.778473
1582.690430	-76.485672
1588.073730	-76.240341
1593.457031	-75.940392
1598.840332	-75.783981
1604.223633	-75.919479
1609.606934	-76.103973
1614.990234	-76.159698
1620.373535	-76.671616
1625.756836	-76.719582
1631.140137	-76.922630
1636.523438	-77.657295
