Frequency (Hz)	Level (dB)
5.383301	-89.738197
10.766602	-88.189659
16.149902	-71.805847
21.533203	-57.128380
26.916504	-54.342640
32.299805	-54.431122
37.683105	-57.224983
43.066406	-49.318726
48.449707	-47.464745
53.833008	-50.036148
59.216309	-53.788273
64.599609	-54.346745
69.982910	-55.416439
75.366211	-56.821465
80.749512	-56.803104
86.132812	-55.194359
91.516113	-54.544090
96.899414	-58.110535
102.282715	-60.697285
107.666016	-59.876488
113.049316	-58.663773
118.432617	-57.896145
123.815918	-57.793091
129.199219	-57.998707
134.582520	-59.164635
139.965820	-61.218784
145.349121	-60.911247
150.732422	-62.675121
156.115723	-63.941448
161.499023	-64.962936
166.882324	-67.486092
172.265625	-67.950523
177.648926	-67.975739
183.032227	-69.579094
188.415527	-69.700722
193.798828	-70.241692
199.182129	-71.385826
204.565430	-71.017143
209.948730	-70.799316
215.332031	-71.462234
220.715332	-70.853905
226.098633	-68.591881
231.481934	-67.749405
236.865234	-67.416634
242.248535	-66.441612
247.631836	-67.291931
253.015137	-67.631668
258.398438	-62.739044
263.781738	-60.056343
269.165039	-64.194977
274.548340	-69.801537
279.931641	-72.020248
285.314941	-71.726578
290.698242	-70.926788
296.081543	-67.877029
301.464844	-67.071327
306.848145	-68.740433
312.231445	-69.172440
317.614746	-68.842232
322.998047	-70.297478
328.381348	-71.038544
333.764648	-69.765823
339.147949	-69.483856
344.531250	-69.871979
349.914551	-69.183594
355.297852	-69.759529
360.681152	-70.138603
366.064453	-70.975433
371.447754	-71.772476
376.831055	-71.344612
382.214355	-71.691818
387.597656	-71.852585
392.980957	-72.929535
398.364258	-73.425049
403.747559	-73.404663
409.130859	-73.292213
414.514160	-71.288391
419.897461	-71.144852
425.280762	-70.573425
430.664062	-71.017944
436.047363	-70.535080
441.430664	-71.239235
446.813965	-72.165779
452.197266	-73.047241
457.580566	-73.540062
462.963867	-73.605133
468.347168	-73.304077
473.730469	-73.349770
479.113770	-74.047623
484.497070	-74.430130
489.880371	-73.845245
495.263672	-73.275780
500.646973	-72.205521
506.030273	-71.812805
511.413574	-72.424553
516.796875	-73.430260
522.180176	-73.702408
527.563477	-73.098114
532.946777	-72.723251
538.330078	-71.322914
543.713379	-70.512047
549.096680	-70.622574
554.479980	-70.409615
559.863281	-70.061104
565.246582	-70.095993
570.629883	-70.843819
576.013184	-71.160378
581.396484	-71.122963
586.779785	-70.943726
592.163086	-70.796143
597.546387	-69.614487
602.929688	-70.777382
608.312988	-71.694244
613.696289	-71.706009
619.079590	-70.979462
624.462891	-71.142242
629.846191	-71.908096
635.229492	-73.298042
640.612793	-73.322533
645.996094	-73.854874
651.379395	-74.405022
656.762695	-75.749779
662.145996	-75.617393
667.529297	-75.427269
672.912598	-75.296707
678.295898	-76.252213
683.679199	-78.690163
689.062500	-79.847099
694.445801	-80.358322
699.829102	-80.300652
705.212402	-81.434082
710.595703	-81.137283
715.979004	-80.224190
721.362305	-81.254494
726.745605	-79.261963
732.128906	-78.194260
737.512207	-77.921684
742.895508	-77.255966
748.278809	-76.580475
753.662109	-76.110008
759.045410	-75.448944
764.428711	-74.967667
769.812012	-74.466003
775.195312	-73.569229
780.578613	-74.010857
785.961914	-73.971703
791.345215	-75.859756
796.728516	-76.570770
802.111816	-76.425278
807.495117	-77.123886
812.878418	-77.269836
818.261719	-75.490723
823.645020	-75.078033
829.028320	-74.774887
834.411621	-74.275818
839.794922	-74.549133
845.178223	-74.721863
850.561523	-75.560432
855.944824	-77.010284
861.328125	-78.784859
866.711426	-79.584297
872.094727	-80.061455
877.478027	-80.226486
882.861328	-79.540024
888.244629	-79.259048
893.627930	-80.254570
899.011230	-80.170601
904.394531	-80.019798
909.777832	-80.612038
915.161133	-81.157684
920.544434	-81.569725
925.927734	-80.188797
931.311035	-79.332870
936.694336	-79.762398
942.077637	-80.131088
947.460938	-78.992226
952.844238	-79.302467
958.227539	-79.760712
963.610840	-80.891022
968.994141	-80.987633
974.377441	-80.978752
979.760742	-81.156570
985.144043	-81.267311
990.527344	-82.031143
995.910645	-80.719238
1001.293945	-79.500740
1006.677246	-79.901588
1012.060547	-80.866241
1017.443848	-81.773033
1022.827148	-81.991081
1028.210449	-82.149986
1033.593750	-82.756897
1038.977051	-82.227074
1044.360352	-82.410568
1049.743652	-82.466736
1055.126953	-81.932571
1060.510254	-81.635345
1065.893555	-81.391739
1071.276855	-81.990593
1076.660156	-82.096306
1082.043457	-82.041420
1087.426758	-82.438309
1092.810059	-82.808067
1098.193359	-82.919228
1103.576660	-83.127197
1108.959961	-83.430008
1114.343262	-82.640404
1119.726562	-82.696205
1125.109863	-83.368713
1130.493164	-83.791542
1135.876465	-84.081970
1141.259766	-84.005356
1146.643066	-83.978409
1152.026367	-84.662956
1157.409668	-84.358231
1162.792969	-84.620110
1168.176270	-84.672836
1173.559570	-84.402573
1178.942871	-85.066902
1184.326172	-84.626923
1189.709473	-84.386742
1195.092773	-84.526344
1200.476074	-84.194588
1205.859375	-84.375038
1211.242676	-83.974945
1216.625977	-83.924515
1222.009277	-84.619545
1227.392578	-84.535995
1232.775879	-85.282013
1238.159180	-85.932526
1243.542480	-86.020531
1248.925781	-86.081688
1254.309082	-85.748764
1259.692383	-86.021980
1265.075684	-86.538025
1270.458984	-85.902481
1275.842285	-86.249313
1281.225586	-86.215332
1286.608887	-85.956894
1291.992188	-86.296593
1297.375488	-86.637001
1302.758789	-86.729393
1308.142090	-87.445343
1313.525391	-87.841354
1318.908691	-88.050224
1324.291992	-88.557030
1329.675293	-88.424194
1335.058594	-88.024620
1340.441895	-88.670547
1345.825195	-89.145935
1351.208496	-89.156952
1356.591797	-87.999634
1361.975098	-87.925461
1367.358398	-87.813103
1372.741699	-87.589256
1378.125000	-86.549377
1383.508301	-86.287682
1388.891602	-87.320869
1394.274902	-87.309143
1399.658203	-86.970207
1405.041504	-87.310875
1410.424805	-87.702995
1415.808105	-87.946037
1421.191406	-87.755806
1426.574707	-87.379410
1431.958008	-87.411705
1437.341309	-87.674904
1442.724609	-88.444084
1448.107910	-89.106674
1453.491211	-88.859245
1458.874512	-88.888779
1464.257812	-88.369064
1469.641113	-88.145218
1475.024414	-88.281631
1480.407715	-87.466972
1485.791016	-86.560661
1491.174316	-86.328506
1496.557617	-86.258659
1501.940918	-87.102570
1507.324219	-88.190926
1512.707520	-88.291161
1518.090820	-87.646500
1523.474121	-86.876190
1528.857422	-85.363411
1534.240723	-84.691078
1539.624023	-84.862968
1545.007324	-84.917717
1550.390625	-85.802666
1555.773926	-87.090309
1561.157227	-88.244370
1566.540527	-88.739960
1571.923828	-89.097771
1577.307129	-89.000557
1582.690430	-88.474602
1588.073730	-88.405441
1593.457031	-87.653160
1598.840332	-86.925186
1604.223633	-86.087143
1609.606934	-85.011757
1614.990234	-85.083862
1620.373535	-85.105827
1625.756836	-86.684067
1631.140137	-87.557480
1636.523438	-87.765549
1641.906738	-88.944572
1647.290039	-89.570053
1652.673340	-89.266983
1658.056641	-89.490112
1663.439941	-88.835281
1668.823242	-89.070946
1674.206543	-89.955246
1679.589844	-89.876205
1684.973145	-88.973206
1690.356445	-89.131584
1695.739746	-89.801506
1701.123047	-89.589729
1706.506348	-89.337868
1711.889648	-90.377090
1717.272949	-90.286514
1722.656250	-90.101646
1728.039551	-90.187691
1733.422852	-90.217209
1738.806152	-89.398277
1744.189453	-88.780800
1749.572754	-89.424149
1754.956055	-89.969070
1760.339355	-89.554970
1765.722656	-89.540115
1771.105957	-87.804367
1776.489258	-87.830055
1781.872559	-89.576164
1787.255859	-90.240517
1792.639160	-89.920219
1798.022461	-90.201393
1803.405762	-91.191566
1808.789062	-91.716103
1814.172363	-91.382217
1819.555664	-91.294487
1824.938965	-91.788864
1830.322266	-91.894569
1835.705566	-91.415802
1841.088867	-91.362587
1846.472168	-91.639191
1851.855469	-91.156090
1857.238770	-90.945847
1862.622070	-90.962738
1868.005371	-91.109451
1873.388672	-90.862701
1878.771973	-91.344063
1884.155273	-90.550240
1889.538574	-90.138969
1894.921875	-90.943314
1900.305176	-91.421265
1905.688477	-90.806732
1911.071777	-90.027328
1916.455078	-89.712967
1921.838379	-90.194916
1927.221680	-90.465248
1932.604980	-90.120384
1937.988281	-89.747971
1943.371582	-89.644409
1948.754883	-89.427475
1954.138184	-88.911079
1959.521484	-89.480698
1964.904785	-89.025871
1970.288086	-88.964470
1975.671387	-89.019417
1981.054688	-88.961815
1986.437988	-89.083923
1991.821289	-88.754372
1997.204590	-88.917679
2002.587891	-88.047066
2007.971191	-87.876030
2013.354492	-87.938423
2018.737793	-87.702576
2024.121094	-87.719841
2029.504395	-88.265846
2034.887695	-88.428307
2040.270996	-88.306694
2045.654297	-88.375389
2051.037598	-88.367851
2056.420898	-88.126122
2061.804199	-87.537483
2067.187500	-87.755188
2072.570801	-87.625877
2077.954102	-88.331055
2083.337402	-88.871323
2088.720703	-88.546440
2094.104004	-88.552460
2099.487305	-88.811111
2104.870605	-89.297852
2110.253906	-89.350609
2115.637207	-90.127899
2121.020508	-90.617111
2126.403809	-90.684273
2131.787109	-90.105019
2137.170410	-89.951210
2142.553711	-89.688835
2147.937012	-90.022430
2153.320312	-90.214676
2158.703613	-90.197502
2164.086914	-89.813126
2169.470215	-89.708694
2174.853516	-89.775642
2180.236816	-89.852196
2185.620117	-90.204697
2191.003418	-89.637512
2196.386719	-89.135826
2201.770020	-88.909470
2207.153320	-89.089539
2212.536621	-89.147118
2217.919922	-88.618088
2223.303223	-88.175812
2228.686523	-88.615173
2234.069824	-88.807053
2239.453125	-88.864563
2244.836426	-89.144699
2250.219727	-89.632874
2255.603027	-89.733833
2260.986328	-89.969589
2266.369629	-90.347954
2271.752930	-90.740616
2277.136230	-90.486748
2282.519531	-90.294907
2287.902832	-91.126747
2293.286133	-91.148392
2298.669434	-91.887718
2304.052734	-92.571579
2309.436035	-92.733696
2314.819336	-92.353653
2320.202637	-92.282684
2325.585938	-91.387115
2330.969238	-92.104759
2336.352539	-92.879982
2341.735840	-92.638649
2347.119141	-92.420639
2352.502441	-92.461868
2357.885742	-93.076897
2363.269043	-93.636696
2368.652344	-92.285843
2374.035645	-92.269127
2379.418945	-92.905144
2384.802246	-92.344460
2390.185547	-92.868828
2395.568848	-92.777969
2400.952148	-93.013611
2406.335449	-93.449493
2411.718750	-92.892532
2417.102051	-92.527336
2422.485352	-92.999359
2427.868652	-93.176186
2433.251953	-93.082603
2438.635254	-93.251495
2444.018555	-93.220474
2449.401855	-93.571320
2454.785156	-94.205856
2460.168457	-93.666267
2465.551758	-93.574890
2470.935059	-93.638336
2476.318359	-93.335587
2481.701660	-94.077271
2487.084961	-94.366165
2492.468262	-94.222527
2497.851562	-94.266701
2503.234863	-94.914551
2508.618164	-95.034828
2514.001465	-95.322960
2519.384766	-95.496346
2524.768066	-96.057365
2530.151367	-95.692169
2535.534668	-94.855659
2540.917969	-94.310989
2546.301270	-94.684090
2551.684570	-94.539497
2557.067871	-94.600197
2562.451172	-94.549782
2567.834473	-94.644707
2573.217773	-94.645378
2578.601074	-95.206429
2583.984375	-95.394203
2589.367676	-95.853539
2594.750977	-95.739380
2600.134277	-95.632278
2605.517578	-96.213646
2610.900879	-95.918228
2616.284180	-95.892982
2621.667480	-95.398911
2627.050781	-95.243378
2632.434082	-94.746506
2637.817383	-94.374252
2643.200684	-93.574944
2648.583984	-93.670868
2653.967285	-93.709702
2659.350586	-93.062050
2664.733887	-93.064514
2670.117188	-93.651367
2675.500488	-94.029182
2680.883789	-94.275284
2686.267090	-94.905678
2691.650391	-95.055885
2697.033691	-94.513039
2702.416992	-94.787262
2707.800293	-94.690689
2713.183594	-94.844627
2718.566895	-95.320045
2723.950195	-95.225067
2729.333496	-95.307220
2734.716797	-95.900169
2740.100098	-96.536797
2745.483398	-95.939957
2750.866699	-95.880157
2756.250000	-96.005493
2761.633301	-96.325439
2767.016602	-96.191544
2772.399902	-95.690727
2777.783203	-95.562370
2783.166504	-95.297401
2788.549805	-94.910286
2793.933105	-95.669426
2799.316406	-95.839798
2804.699707	-95.372391
2810.083008	-95.665710
2815.466309	-96.196594
2820.849609	-96.005074
2826.232910	-95.752411
2831.616211	-95.538307
2836.999512	-95.881256
2842.382812	-95.691101
2847.766113	-95.491615
2853.149414	-95.841942
2858.532715	-95.919334
2863.916016	-95.585464
2869.299316	-95.452805
2874.682617	-95.943390
2880.065918	-95.844147
2885.449219	-95.348335
2890.832520	-95.389412
2896.215820	-95.064903
2901.599121	-95.297394
2906.982422	-95.247215
2912.365723	-95.671593
2917.749023	-95.672256
2923.132324	-95.658134
2928.515625	-95.490761
2933.898926	-94.962578
2939.282227	-94.787590
2944.665527	-94.763184
2950.048828	-95.122734
2955.432129	-95.267113
2960.815430	-95.381218
2966.198730	-95.920998
2971.582031	-96.494675
2976.965332	-96.621986
2982.348633	-96.225380
2987.731934	-96.953598
2993.115234	-96.827309
2998.498535	-96.900574
3003.881836	-96.727089
3009.265137	-96.265625
3014.648438	-96.577309
3020.031738	-96.505104
3025.415039	-95.877724
3030.798340	-96.049980
3036.181641	-96.699013
3041.564941	-96.898643
3046.948242	-96.558044
3052.331543	-96.672997
3057.714844	-96.840218
3063.098145	-96.421211
3068.481445	-96.615685
3073.864746	-96.913284
3079.248047	-97.129524
3084.631348	-96.774719
3090.014648	-96.204727
3095.397949	-96.471634
3100.781250	-96.594978
3106.164551	-96.837975
3111.547852	-97.113373
3116.931152	-96.474266
3122.314453	-96.879875
3127.697754	-96.721184
3133.081055	-95.867523
3138.464355	-95.996330
3143.847656	-95.964699
3149.230957	-96.299797
3154.614258	-96.362076
3159.997559	-96.040672
3165.380859	-95.884735
3170.764160	-95.911369
3176.147461	-95.970039
3181.530762	-96.699348
3186.914062	-97.052666
3192.297363	-96.920990
3197.680664	-97.104469
3203.063965	-97.221802
3208.447266	-97.605354
3213.830566	-97.287560
3219.213867	-96.604485
3224.597168	-96.519119
3229.980469	-96.134544
3235.363770	-96.233635
3240.747070	-96.985245
3246.130371	-97.211708
3251.513672	-97.151390
3256.896973	-97.330284
3262.280273	-96.859673
3267.663574	-96.570335
3273.046875	-96.557007
3278.430176	-96.049660
3283.813477	-96.408318
3289.196777	-96.350594
3294.580078	-96.110519
3299.963379	-96.584480
3305.346680	-96.863304
3310.729980	-96.829903
3316.113281	-96.309227
3321.496582	-96.463844
3326.879883	-97.321869
3332.263184	-97.174088
3337.646484	-96.308662
3343.029785	-95.903107
3348.413086	-96.124153
3353.796387	-96.537376
3359.179688	-96.947365
3364.562988	-97.126579
3369.946289	-96.978928
3375.329590	-96.485260
3380.712891	-96.732635
3386.096191	-96.549355
3391.479492	-97.114388
3396.862793	-96.821785
3402.246094	-96.271080
3407.629395	-96.382179
3413.012695	-96.735291
3418.395996	-96.863144
3423.779297	-96.882309
3429.162598	-96.947433
3434.545898	-96.771080
3439.929199	-97.255875
3445.312500	-97.328362
3450.695801	-97.743233
3456.079102	-97.188271
3461.462402	-96.904114
3466.845703	-96.910316
3472.229004	-97.102371
3477.612305	-97.396904
3482.995605	-97.190414
3488.378906	-96.711479
3493.762207	-96.871002
3499.145508	-96.900528
3504.528809	-96.618690
3509.912109	-96.596573
3515.295410	-96.441940
3520.678711	-96.340538
3526.062012	-96.153778
3531.445312	-96.578773
3536.828613	-97.147758
3542.211914	-96.812836
3547.595215	-96.696976
3552.978516	-96.660225
3558.361816	-96.287117
3563.745117	-97.248329
3569.128418	-96.972649
3574.511719	-96.754158
3579.895020	-97.084076
3585.278320	-96.833931
3590.661621	-96.453079
3596.044922	-96.943092
3601.428223	-97.202095
3606.811523	-97.276039
3612.194824	-96.675583
3617.578125	-97.163063
3622.961426	-97.217712
3628.344727	-97.505974
3633.728027	-97.404884
3639.111328	-97.915924
3644.494629	-97.564461
3649.877930	-97.180901
3655.261230	-97.263290
3660.644531	-96.593994
3666.027832	-97.398552
3671.411133	-97.720078
3676.794434	-97.612396
3682.177734	-97.607086
3687.561035	-97.582870
3692.944336	-98.158401
3698.327637	-97.962944
3703.710938	-97.999573
3709.094238	-97.951096
3714.477539	-98.212967
3719.860840	-97.948822
3725.244141	-98.223907
3730.627441	-98.636551
3736.010742	-98.756729
3741.394043	-98.854469
3746.777344	-98.958961
3752.160645	-98.628510
3757.543945	-98.747269
3762.927246	-98.711967
3768.310547	-99.314903
3773.693848	-99.112244
3779.077148	-99.386887
3784.460449	-99.199799
3789.843750	-99.420242
3795.227051	-98.910538
3800.610352	-99.176224
3805.993652	-98.672470
3811.376953	-98.720840
3816.760254	-99.114777
3822.143555	-98.731613
3827.526855	-98.887840
3832.910156	-98.741951
3838.293457	-98.744919
3843.676758	-98.133652
3849.060059	-98.243233
3854.443359	-98.390366
3859.826660	-98.691261
3865.209961	-98.463974
3870.593262	-98.625671
3875.976562	-98.776680
3881.359863	-98.460258
3886.743164	-98.806587
3892.126465	-99.283554
3897.509766	-99.655464
3902.893066	-99.350067
3908.276367	-99.370628
3913.659668	-98.908318
3919.042969	-98.794067
3924.426270	-99.048134
3929.809570	-99.503540
3935.192871	-99.004189
3940.576172	-99.471336
3945.959473	-99.340019
3951.342773	-99.344231
3956.726074	-99.767830
3962.109375	-99.242805
3967.492676	-99.224213
3972.875977	-99.114616
3978.259277	-99.067665
3983.642578	-99.143158
3989.025879	-99.357185
3994.409180	-99.339500
3999.792480	-99.547607
4005.175781	-99.265198
4010.559082	-99.239815
4015.942383	-99.243805
4021.325684	-99.600136
4026.708984	-100.034462
4032.092285	-99.817444
4037.475586	-99.837769
4042.858887	-100.039703
4048.242188	-99.724327
4053.625488	-100.069862
4059.008789	-99.716385
4064.392090	-99.589729
4069.775391	-99.478027
4075.158691	-99.456696
4080.541992	-99.497276
4085.925293	-99.325607
4091.308594	-99.231247
4096.691895	-99.129868
4102.075195	-98.987793
4107.458496	-98.812820
4112.841797	-98.514107
4118.225098	-99.102631
4123.608398	-99.406212
4128.991699	-99.347351
4134.375000	-99.399361
4139.758301	-99.662971
4145.141602	-99.669083
4150.524902	-99.803741
4155.908203	-100.252701
4161.291504	-99.738869
4166.674805	-99.290955
4172.058105	-99.707703
4177.441406	-99.278847
4182.824707	-100.102005
4188.208008	-99.467499
4193.591309	-99.012138
4198.974609	-99.039284
4204.357910	-98.940720
4209.741211	-99.205658
4215.124512	-99.303902
4220.507812	-99.270271
4225.891113	-99.567329
4231.274414	-99.577202
4236.657715	-99.235085
4242.041016	-98.827271
4247.424316	-98.942375
4252.807617	-99.458427
4258.190918	-99.479271
4263.574219	-99.494118
4268.957520	-99.513489
4274.340820	-99.848862
4279.724121	-99.483727
4285.107422	-99.417709
4290.490723	-99.593262
4295.874023	-99.473679
4301.257324	-99.341064
4306.640625	-99.560074
4312.023926	-98.983849
4317.407227	-99.319588
4322.790527	-99.166939
4328.173828	-99.120789
4333.557129	-99.428200
4338.940430	-99.324348
4344.323730	-99.000389
4349.707031	-99.347038
4355.090332	-99.286003
4360.473633	-99.197189
4365.856934	-99.207451
4371.240234	-100.203659
4376.623535	-99.571884
4382.006836	-99.503410
4387.390137	-99.777657
4392.773438	-99.654770
4398.156738	-100.272987
4403.540039	-99.975136
4408.923340	-100.145538
4414.306641	-99.578285
4419.689941	-100.079277
4425.073242	-99.814552
4430.456543	-99.432167
4435.839844	-99.568466
4441.223145	-100.063141
4446.606445	-99.825684
4451.989746	-99.357025
4457.373047	-99.383911
4462.756348	-99.430885
4468.139648	-99.475952
4473.522949	-99.807999
4478.906250	-99.657089
4484.289551	-99.648056
4489.672852	-99.024841
4495.056152	-99.521591
4500.439453	-100.272835
4505.822754	-99.936333
4511.206055	-99.281158
4516.589355	-99.133850
4521.972656	-99.340363
4527.355957	-99.509003
4532.739258	-99.367020
4538.122559	-99.341896
4543.505859	-99.730782
4548.889160	-99.534813
4554.272461	-99.853195
4559.655762	-100.185913
4565.039062	-99.891518
4570.422363	-100.197723
4575.805664	-99.892899
