Frequency (Hz)	Level (dB)
5.383301	-89.205147
10.766602	-87.026337
16.149902	-69.955627
21.533203	-59.315823
26.916504	-55.033192
32.299805	-54.197388
37.683105	-60.211884
43.066406	-51.883255
48.449707	-52.262371
53.833008	-54.380058
59.216309	-53.163048
64.599609	-51.843319
69.982910	-50.378216
75.366211	-54.075718
80.749512	-55.359829
86.132812	-53.212933
91.516113	-53.600136
96.899414	-56.964100
102.282715	-57.882599
107.666016	-55.266064
113.049316	-54.652496
118.432617	-55.268208
123.815918	-56.226376
129.199219	-56.547729
134.582520	-55.147709
139.965820	-58.458515
145.349121	-59.609543
150.732422	-61.001030
156.115723	-60.807411
161.499023	-60.807358
166.882324	-62.854805
172.265625	-65.021263
177.648926	-65.206718
183.032227	-66.106430
188.415527	-67.187370
193.798828	-69.482704
199.182129	-69.250595
204.565430	-68.606384
209.948730	-69.530937
215.332031	-70.951805
220.715332	-69.790657
226.098633	-68.437393
231.481934	-66.630775
236.865234	-66.243820
242.248535	-66.397522
247.631836	-66.625214
253.015137	-67.974731
258.398438	-66.387108
263.781738	-62.390129
269.165039	-62.126511
274.548340	-67.258995
279.931641	-71.216980
285.314941	-70.552582
290.698242	-70.777161
296.081543	-69.011131
301.464844	-66.129822
306.848145	-67.971329
312.231445	-68.706917
317.614746	-67.457680
322.998047	-67.085335
328.381348	-67.467033
333.764648	-67.186554
339.147949	-66.406837
344.531250	-66.598129
349.914551	-66.776337
355.297852	-65.452011
360.681152	-65.755043
366.064453	-68.036812
371.447754	-67.914055
376.831055	-67.709068
382.214355	-67.820190
387.597656	-68.005692
392.980957	-68.397652
398.364258	-68.503593
403.747559	-69.216957
409.130859	-68.784050
414.514160	-68.149750
419.897461	-68.190414
425.280762	-67.207840
430.664062	-67.570007
436.047363	-67.785660
441.430664	-67.965897
446.813965	-68.031898
452.197266	-69.245132
457.580566	-70.044701
462.963867	-70.817047
468.347168	-71.010529
473.730469	-70.637306
479.113770	-70.739136
484.497070	-71.303146
489.880371	-70.713478
495.263672	-69.874992
500.646973	-68.437996
506.030273	-68.726425
511.413574	-69.190720
516.796875	-69.720657
522.180176	-69.899956
527.563477	-69.611961
532.946777	-69.575615
538.330078	-67.808548
543.713379	-66.685539
549.096680	-65.266159
554.479980	-65.648193
559.863281	-65.312218
565.246582	-65.474319
570.629883	-65.578056
576.013184	-65.497932
581.396484	-66.315285
586.779785	-67.015274
592.163086	-68.497879
597.546387	-68.454964
602.929688	-68.071968
608.312988	-67.746262
613.696289	-67.648834
619.079590	-67.676094
624.462891	-67.291672
629.846191	-67.694366
635.229492	-68.225395
640.612793	-68.674400
645.996094	-68.856682
651.379395	-69.722992
656.762695	-70.482613
662.145996	-71.346222
667.529297	-71.803581
672.912598	-71.928368
678.295898	-72.238052
683.679199	-73.184448
689.062500	-71.334633
694.445801	-74.675476
699.829102	-77.707642
705.212402	-78.087585
710.595703	-77.048897
715.979004	-76.529678
721.362305	-76.043289
726.745605	-75.043961
732.128906	-73.867599
737.512207	-73.184975
742.895508	-72.206429
748.278809	-70.341705
753.662109	-70.162666
759.045410	-70.138329
764.428711	-70.039398
769.812012	-69.549309
775.195312	-69.365486
780.578613	-69.536003
785.961914	-70.390617
791.345215	-71.322746
796.728516	-72.828850
802.111816	-74.550781
807.495117	-74.778168
812.878418	-74.600349
818.261719	-72.975945
823.645020	-69.810242
829.028320	-68.415878
834.411621	-69.043045
839.794922	-69.377113
845.178223	-70.363380
850.561523	-71.182610
855.944824	-72.052094
861.328125	-73.711899
866.711426	-74.762451
872.094727	-75.136284
877.478027	-76.035355
882.861328	-76.163353
888.244629	-76.256752
893.627930	-77.110558
899.011230	-76.455681
904.394531	-76.599014
909.777832	-76.975563
915.161133	-76.684784
920.544434	-77.034775
925.927734	-77.553459
931.311035	-77.123940
936.694336	-76.673775
942.077637	-76.516106
947.460938	-76.564072
952.844238	-76.379623
