Frequency (Hz)	Level (dB)
5.383301	-77.024109
10.766602	-76.784683
16.149902	-66.916649
21.533203	-56.422867
26.916504	-56.856079
32.299805	-50.762817
37.683105	-45.803192
43.066406	-45.112793
48.449707	-44.397518
53.833008	-42.770023
59.216309	-39.274433
64.599609	-33.125290
69.982910	-36.862907
75.366211	-39.952034
80.749512	-38.140869
86.132812	-37.968399
91.516113	-37.357056
96.899414	-35.626888
102.282715	-33.977654
107.666016	-34.365414
113.049316	-36.265797
118.432617	-39.869621
123.815918	-41.357201
129.199219	-41.715733
134.582520	-43.400372
139.965820	-44.377735
145.349121	-43.769165
150.732422	-41.632458
156.115723	-40.037361
161.499023	-38.606651
166.882324	-38.313965
172.265625	-39.623764
177.648926	-41.655235
183.032227	-42.989319
188.415527	-43.894081
193.798828	-44.612553
199.182129	-45.367435
204.565430	-45.901806
209.948730	-46.696869
215.332031	-46.734913
220.715332	-46.758472
226.098633	-45.704227
231.481934	-44.888210
236.865234	-43.963551
242.248535	-44.221985
247.631836	-46.047752
253.015137	-47.363647
258.398438	-47.743931
263.781738	-48.300640
269.165039	-49.202217
274.548340	-50.353935
279.931641	-50.439129
285.314941	-50.591801
290.698242	-51.063244
296.081543	-50.332584
301.464844	-49.681747
306.848145	-48.458870
312.231445	-47.399158
317.614746	-46.364773
322.998047	-44.185413
328.381348	-43.372292
333.764648	-45.081867
339.147949	-46.130638
344.531250	-47.552563
349.914551	-48.886280
355.297852	-49.791626
360.681152	-49.776943
366.064453	-50.425453
371.447754	-50.733944
376.831055	-51.110741
382.214355	-51.186901
387.597656	-50.491146
392.980957	-50.177795
398.364258	-50.455746
403.747559	-50.661640
409.130859	-50.285988
414.514160	-50.552700
419.897461	-51.474529
425.280762	-52.031219
430.664062	-52.554447
436.047363	-52.912548
441.430664	-53.779205
446.813965	-53.954468
452.197266	-54.395485
457.580566	-55.199913
462.963867	-56.243710
468.347168	-56.342693
473.730469	-56.002209
479.113770	-56.039597
484.497070	-53.883297
489.880371	-52.558693
495.263672	-51.196663
500.646973	-50.007732
506.030273	-49.080715
511.413574	-49.147469
516.796875	-49.241383
522.180176	-48.933445
527.563477	-50.409081
532.946777	-51.432476
538.330078	-52.222935
543.713379	-53.278561
549.096680	-54.139084
554.479980	-54.989864
559.863281	-56.071304
565.246582	-56.472347
570.629883	-56.836262
576.013184	-57.125050
581.396484	-56.563648
586.779785	-55.289272
592.163086	-55.645340
597.546387	-55.454262
602.929688	-54.750015
608.312988	-54.397346
613.696289	-54.839657
619.079590	-55.115620
624.462891	-54.624676
629.846191	-54.498692
635.229492	-55.217533
640.612793	-56.141422
645.996094	-56.913357
651.379395	-57.468914
656.762695	-57.653072
662.145996	-57.666416
667.529297	-57.605160
672.912598	-57.494385
678.295898	-57.827267
683.679199	-58.770130
689.062500	-59.485378
694.445801	-60.750622
699.829102	-61.762409
705.212402	-61.736515
710.595703	-61.255928
715.979004	-60.747181
721.362305	-59.801624
726.745605	-59.660698
732.128906	-58.878963
737.512207	-57.843678
742.895508	-56.730209
748.278809	-56.464886
753.662109	-56.230141
759.045410	-55.807777
764.428711	-55.669044
769.812012	-55.641109
775.195312	-56.118881
780.578613	-56.556854
785.961914	-57.253422
791.345215	-59.249187
796.728516	-59.678192
802.111816	-60.500755
807.495117	-60.749649
812.878418	-60.430332
818.261719	-60.300423
823.645020	-59.718880
829.028320	-59.154655
834.411621	-58.290947
839.794922	-57.631905
845.178223	-57.635483
850.561523	-57.644379
855.944824	-57.028957
861.328125	-56.360870
866.711426	-55.787148
872.094727	-55.183392
877.478027	-55.094978
882.861328	-56.000187
888.244629	-56.185402
893.627930	-56.224304
899.011230	-56.988911
904.394531	-58.008617
909.777832	-58.430721
915.161133	-58.403999
920.544434	-58.519035
925.927734	-58.845863
931.311035	-59.082077
936.694336	-59.765343
942.077637	-60.777645
947.460938	-61.635769
952.844238	-61.108971
958.227539	-61.525215
963.610840	-60.985203
968.994141	-61.330208
974.377441	-61.915916
979.760742	-62.791248
985.144043	-64.023087
990.527344	-64.553551
995.910645	-65.060097
1001.293945	-65.142204
1006.677246	-64.414871
1012.060547	-63.340855
1017.443848	-62.447086
1022.827148	-61.655556
1028.210449	-60.994732
1033.593750	-60.637905
1038.977051	-60.583302
1044.360352	-60.626171
1049.743652	-61.069946
1055.126953	-60.908073
1060.510254	-60.779083
1065.893555	-60.778648
1071.276855	-61.164303
1076.660156	-61.331020
1082.043457	-60.900036
1087.426758	-60.379944
1092.810059	-60.060005
1098.193359	-59.459194
1103.576660	-58.946972
