Frequency (Hz)	Level (dB)
5.383301	-67.894043
10.766602	-67.156364
16.149902	-61.674942
21.533203	-50.719013
26.916504	-51.294746
32.299805	-50.157345
37.683105	-46.965946
43.066406	-43.732380
48.449707	-40.975544
53.833008	-39.647842
59.216309	-39.451553
64.599609	-38.380074
69.982910	-38.421635
75.366211	-39.219303
80.749512	-39.544765
86.132812	-39.506321
91.516113	-39.538963
96.899414	-40.695454
102.282715	-39.977253
107.666016	-39.887047
113.049316	-40.882832
118.432617	-41.910164
123.815918	-43.264412
129.199219	-43.969433
134.582520	-44.181660
139.965820	-44.040058
145.349121	-44.497208
150.732422	-44.622620
156.115723	-44.864857
161.499023	-45.519066
166.882324	-45.948238
172.265625	-47.080231
177.648926	-47.922302
183.032227	-48.070732
188.415527	-48.699623
193.798828	-47.661446
199.182129	-48.960655
204.565430	-50.317940
209.948730	-50.644588
215.332031	-50.284058
220.715332	-49.256618
226.098633	-48.999672
231.481934	-47.593079
236.865234	-46.328896
242.248535	-44.851948
247.631836	-44.452782
253.015137	-43.790627
258.398438	-44.407986
263.781738	-44.833950
269.165039	-45.063744
274.548340	-45.555485
279.931641	-44.890915
285.314941	-44.351730
290.698242	-43.320187
296.081543	-43.391247
301.464844	-44.263451
306.848145	-45.873672
312.231445	-46.579361
317.614746	-47.441982
322.998047	-47.766850
328.381348	-47.597572
333.764648	-46.652470
339.147949	-46.061638
344.531250	-45.688011
349.914551	-46.150955
355.297852	-46.929649
360.681152	-46.625858
366.064453	-47.361649
371.447754	-48.374168
376.831055	-49.201210
382.214355	-49.232914
387.597656	-49.462250
392.980957	-50.238472
398.364258	-51.025627
403.747559	-51.548012
409.130859	-51.093163
414.514160	-50.644421
419.897461	-50.438999
425.280762	-50.263988
430.664062	-51.430851
436.047363	-51.199821
441.430664	-51.356632
446.813965	-51.143879
452.197266	-50.933762
457.580566	-50.421268
462.963867	-49.946426
468.347168	-50.835403
473.730469	-51.330906
479.113770	-51.065655
484.497070	-51.364166
489.880371	-51.534866
495.263672	-50.477440
500.646973	-49.687588
506.030273	-49.111801
511.413574	-48.775440
516.796875	-48.878384
522.180176	-48.462185
527.563477	-48.492302
532.946777	-48.448483
538.330078	-48.827114
543.713379	-49.076031
549.096680	-49.384010
554.479980	-49.810993
559.863281	-51.172146
565.246582	-52.493774
570.629883	-52.617710
576.013184	-50.798759
581.396484	-49.982883
586.779785	-50.072433
592.163086	-50.378323
597.546387	-51.178703
602.929688	-51.167812
608.312988	-51.069008
613.696289	-51.103443
619.079590	-50.918209
624.462891	-51.287357
629.846191	-50.784527
635.229492	-50.589424
640.612793	-51.275921
645.996094	-52.948723
651.379395	-54.543102
656.762695	-55.223843
662.145996	-54.885044
667.529297	-53.655502
672.912598	-53.250694
678.295898	-53.718864
683.679199	-53.956463
689.062500	-54.496887
694.445801	-55.244476
699.829102	-55.437618
705.212402	-55.060654
710.595703	-55.063297
715.979004	-54.748596
721.362305	-54.343365
726.745605	-53.613091
732.128906	-53.600784
737.512207	-54.380116
742.895508	-55.557995
748.278809	-55.552818
753.662109	-56.444157
759.045410	-56.365067
764.428711	-56.744465
769.812012	-57.073063
775.195312	-56.404488
780.578613	-55.694920
785.961914	-54.921974
791.345215	-53.959232
796.728516	-52.482967
802.111816	-50.915878
807.495117	-50.424641
812.878418	-49.949722
818.261719	-49.594498
823.645020	-49.952442
829.028320	-50.224480
834.411621	-49.968433
839.794922	-49.943535
845.178223	-51.069618
850.561523	-52.054829
855.944824	-53.085667
861.328125	-54.349678
866.711426	-56.268925
872.094727	-57.317310
877.478027	-57.671883
882.861328	-57.418667
888.244629	-56.985924
893.627930	-56.693546
899.011230	-56.099567
904.394531	-55.671898
909.777832	-56.074203
915.161133	-56.674816
920.544434	-56.332546
925.927734	-56.564358
931.311035	-56.086876
936.694336	-55.491028
942.077637	-54.622463
947.460938	-54.301422
952.844238	-54.252800
958.227539	-52.839848
963.610840	-52.586647
968.994141	-52.421249
974.377441	-52.492847
979.760742	-52.473606
985.144043	-52.431828
990.527344	-52.383060
995.910645	-52.559509
1001.293945	-52.943123
1006.677246	-53.821423
1012.060547	-54.686783
1017.443848	-55.516895
1022.827148	-55.265270
1028.210449	-55.510406
1033.593750	-55.665680
1038.977051	-56.441086
1044.360352	-56.388123
1049.743652	-56.737659
1055.126953	-56.695015
1060.510254	-56.884399
1065.893555	-57.605984
1071.276855	-58.194469
1076.660156	-58.318233
1082.043457	-57.355793
1087.426758	-56.129421
1092.810059	-55.151909
1098.193359	-54.753956
1103.576660	-54.621197
1108.959961	-54.517864
1114.343262	-55.237774
1119.726562	-55.337299
1125.109863	-54.952187
1130.493164	-56.048759
1135.876465	-56.365307
1141.259766	-56.454491
1146.643066	-56.224903
1152.026367	-56.580219
1157.409668	-57.187832
1162.792969	-56.745434
1168.176270	-57.185623
1173.559570	-57.292622
1178.942871	-57.496586
1184.326172	-57.448681
1189.709473	-57.857376
1195.092773	-58.322788
1200.476074	-58.592442
1205.859375	-59.722580
1211.242676	-60.808285
1216.625977	-60.980885
1222.009277	-61.971180
1227.392578	-62.416077
1232.775879	-62.201157
1238.159180	-62.906162
1243.542480	-63.496513
1248.925781	-63.550316
1254.309082	-62.353367
1259.692383	-61.419224
1265.075684	-60.171604
1270.458984	-59.058487
1275.842285	-58.136768
1281.225586	-57.750103
1286.608887	-58.320515
1291.992188	-58.088978
1297.375488	-58.308414
1302.758789	-57.947651
1308.142090	-58.057110
1313.525391	-57.536785
1318.908691	-57.177776
1324.291992	-56.384171
1329.675293	-55.930271
1335.058594	-56.228424
1340.441895	-56.763039
1345.825195	-56.576500
1351.208496	-56.537350
1356.591797	-57.281387
1361.975098	-57.575741
1367.358398	-58.192657
1372.741699	-57.808659
1378.125000	-57.755203
1383.508301	-57.140533
1388.891602	-57.457428
1394.274902	-58.646477
1399.658203	-59.932404
1405.041504	-60.372398
1410.424805	-60.605762
1415.808105	-59.910675
1421.191406	-59.390339
1426.574707	-58.794624
1431.958008	-58.446999
1437.341309	-58.658401
1442.724609	-59.667324
1448.107910	-61.450108
1453.491211	-62.293015
1458.874512	-61.681458
1464.257812	-60.824547
1469.641113	-60.205284
