Frequency (Hz)	Level (dB)
5.383301	-73.521851
10.766602	-73.306984
16.149902	-63.759064
21.533203	-51.148598
26.916504	-53.079189
32.299805	-57.489799
37.683105	-53.708546
43.066406	-50.134583
48.449707	-48.279018
53.833008	-47.175957
59.216309	-46.701359
64.599609	-46.718746
69.982910	-46.929443
75.366211	-47.183376
80.749512	-47.880051
86.132812	-48.819691
91.516113	-49.536564
96.899414	-47.699646
102.282715	-47.661781
107.666016	-47.281418
113.049316	-47.681881
118.432617	-48.664673
123.815918	-50.291050
129.199219	-51.471569
134.582520	-52.010525
139.965820	-52.064877
145.349121	-52.198330
150.732422	-51.468616
156.115723	-52.986935
161.499023	-53.072483
166.882324	-53.081161
172.265625	-54.293591
177.648926	-55.163425
183.032227	-54.008396
188.415527	-52.670448
193.798828	-54.663074
199.182129	-55.486843
204.565430	-56.289890
209.948730	-56.399578
215.332031	-55.373924
220.715332	-55.643871
226.098633	-54.597080
231.481934	-53.228001
236.865234	-52.307915
242.248535	-51.386505
247.631836	-50.762619
253.015137	-49.878750
258.398438	-50.218979
263.781738	-50.931190
269.165039	-51.632862
274.548340	-52.448521
279.931641	-51.593288
285.314941	-51.748909
290.698242	-51.296528
296.081543	-50.512951
301.464844	-51.404129
306.848145	-52.521431
312.231445	-53.346581
317.614746	-54.645237
322.998047	-54.894753
328.381348	-54.202984
333.764648	-53.240353
339.147949	-52.213432
344.531250	-51.600765
349.914551	-51.796356
355.297852	-52.481873
360.681152	-53.339527
366.064453	-54.045689
371.447754	-54.409348
376.831055	-55.010925
382.214355	-55.643143
387.597656	-56.526768
392.980957	-57.514168
398.364258	-58.219372
403.747559	-58.403084
409.130859	-56.571434
414.514160	-55.950634
419.897461	-56.190254
425.280762	-56.606010
430.664062	-57.259422
436.047363	-57.833008
441.430664	-57.727139
446.813965	-57.626469
452.197266	-57.999931
457.580566	-58.105179
462.963867	-57.477268
468.347168	-57.929420
473.730469	-58.651539
479.113770	-59.551132
484.497070	-59.819389
489.880371	-60.733994
495.263672	-59.551754
500.646973	-57.854504
506.030273	-56.963669
511.413574	-56.461784
516.796875	-55.675209
522.180176	-54.992432
527.563477	-54.951881
532.946777	-55.214928
538.330078	-54.870628
543.713379	-54.899178
549.096680	-55.578075
554.479980	-57.665188
559.863281	-59.284966
565.246582	-60.077374
570.629883	-60.084259
576.013184	-58.802895
581.396484	-57.138924
586.779785	-56.649719
592.163086	-56.339226
597.546387	-56.730804
602.929688	-57.514591
608.312988	-56.979553
613.696289	-56.420372
619.079590	-56.625900
624.462891	-56.088818
629.846191	-55.553307
635.229492	-55.792618
640.612793	-56.768524
645.996094	-57.980728
651.379395	-59.615589
656.762695	-60.785183
662.145996	-60.326809
667.529297	-59.331375
672.912598	-58.678539
678.295898	-58.777702
683.679199	-58.953014
689.062500	-59.584641
694.445801	-60.367218
699.829102	-60.777920
705.212402	-61.034920
710.595703	-61.512333
715.979004	-61.602028
721.362305	-61.584217
726.745605	-61.858860
732.128906	-61.697834
737.512207	-61.769573
742.895508	-62.121624
748.278809	-62.863438
753.662109	-64.001480
759.045410	-64.249954
764.428711	-64.579552
769.812012	-64.213768
775.195312	-63.868309
780.578613	-62.727314
785.961914	-62.765972
791.345215	-60.763332
796.728516	-59.203987
802.111816	-58.373989
807.495117	-57.020561
812.878418	-56.672634
818.261719	-56.718758
823.645020	-56.856426
829.028320	-57.051300
834.411621	-56.931728
839.794922	-57.453056
845.178223	-58.228062
850.561523	-59.506199
855.944824	-61.233265
861.328125	-63.009281
866.711426	-64.924187
872.094727	-66.241852
877.478027	-65.204170
882.861328	-63.949009
888.244629	-63.371399
893.627930	-63.897854
899.011230	-64.611877
904.394531	-64.427505
909.777832	-64.033554
915.161133	-63.568310
920.544434	-63.234455
925.927734	-62.856197
931.311035	-63.001228
936.694336	-63.352428
942.077637	-62.480171
947.460938	-61.851780
952.844238	-61.504669
958.227539	-61.186092
963.610840	-60.924992
968.994141	-60.314720
974.377441	-59.680416
979.760742	-59.801430
985.144043	-59.543102
990.527344	-59.668789
995.910645	-60.421413
1001.293945	-60.496754
1006.677246	-61.405907
1012.060547	-62.096226
1017.443848	-62.524921
1022.827148	-62.354858
1028.210449	-62.648277
1033.593750	-63.541649
1038.977051	-63.750351
1044.360352	-63.704647
1049.743652	-63.850834
1055.126953	-63.960899
1060.510254	-64.185905
1065.893555	-65.307297
1071.276855	-66.092789
1076.660156	-65.677971
1082.043457	-64.445564
1087.426758	-63.141655
1092.810059	-62.224888
1098.193359	-61.492165
1103.576660	-60.776558
1108.959961	-60.909920
1114.343262	-61.417316
1119.726562	-62.271324
1125.109863	-63.052032
1130.493164	-63.572742
1135.876465	-63.809868
1141.259766	-63.862854
1146.643066	-63.964935
1152.026367	-64.029243
1157.409668	-64.193756
1162.792969	-64.549759
1168.176270	-65.353798
1173.559570	-65.408699
1178.942871	-65.777695
1184.326172	-65.050156
1189.709473	-64.955048
1195.092773	-65.610352
1200.476074	-65.982605
1205.859375	-67.515900
1211.242676	-68.489571
1216.625977	-69.020027
1222.009277	-69.356049
1227.392578	-68.461304
1232.775879	-68.588463
1238.159180	-69.463135
1243.542480	-70.176025
1248.925781	-71.111603
1254.309082	-70.750511
1259.692383	-69.983147
1265.075684	-69.134827
1270.458984	-68.077759
1275.842285	-67.265320
1281.225586	-66.602592
1286.608887	-65.899887
1291.992188	-65.321350
1297.375488	-64.855598
1302.758789	-64.697861
1308.142090	-64.836815
1313.525391	-64.122208
1318.908691	-63.873489
1324.291992	-63.654736
1329.675293	-62.812183
1335.058594	-62.979282
1340.441895	-63.679649
1345.825195	-64.132370
1351.208496	-64.332413
1356.591797	-64.389099
1361.975098	-64.943176
1367.358398	-65.185616
1372.741699	-65.325363
1378.125000	-65.637619
1383.508301	-65.105217
1388.891602	-66.022995
1394.274902	-67.309937
1399.658203	-67.480415
1405.041504	-67.712219
1410.424805	-67.343628
1415.808105	-66.947220
1421.191406	-66.208199
1426.574707	-65.931076
1431.958008	-65.708023
1437.341309	-66.254761
1442.724609	-66.971130
1448.107910	-68.041336
1453.491211	-67.970558
1458.874512	-67.104172
1464.257812	-65.791809
1469.641113	-66.021133
1475.024414	-66.457092
1480.407715	-66.637550
1485.791016	-66.749420
1491.174316	-66.856522
1496.557617	-67.101746
1501.940918	-66.892860
1507.324219	-65.867508
1512.707520	-65.351021
1518.090820	-64.691628
1523.474121	-64.587616
1528.857422	-61.679554
1534.240723	-58.924656
1539.624023	-64.104874
1545.007324	-66.497231
1550.390625	-66.709145
1555.773926	-66.325623
1561.157227	-66.014702
1566.540527	-66.117264
1571.923828	-67.375313
1577.307129	-67.794151
1582.690430	-67.615952
1588.073730	-67.739899
1593.457031	-67.775673
1598.840332	-67.747322
1604.223633	-68.551582
1609.606934	-69.541946
1614.990234	-70.700546
1620.373535	-71.698463
1625.756836	-71.997894
1631.140137	-71.397530
1636.523438	-71.948067
1641.906738	-71.551514
1647.290039	-71.377457
1652.673340	-72.161743
1658.056641	-71.930099
1663.439941	-71.818787
1668.823242	-71.701561
1674.206543	-71.894005
1679.589844	-72.188110
1684.973145	-71.557442
1690.356445	-71.177071
1695.739746	-70.991585
1701.123047	-71.629425
1706.506348	-71.013992
1711.889648	-69.903145
1717.272949	-69.432518
1722.656250	-69.767426
1728.039551	-70.538177
1733.422852	-70.891083
1738.806152	-71.299179
1744.189453	-71.939674
1749.572754	-71.765961
1754.956055	-72.703720
1760.339355	-73.638756
1765.722656	-74.183792
1771.105957	-73.370178
1776.489258	-73.258072
1781.872559	-73.667664
1787.255859	-73.508690
1792.639160	-73.163353
1798.022461	-73.012718
1803.405762	-72.358803
1808.789062	-72.586372
1814.172363	-72.067802
1819.555664	-72.310120
1824.938965	-72.560570
1830.322266	-72.091148
1835.705566	-71.266434
1841.088867	-71.138344
1846.472168	-70.574493
1851.855469	-70.820656
1857.238770	-70.579720
1862.622070	-70.850471
1868.005371	-70.123558
1873.388672	-69.605637
1878.771973	-69.540718
1884.155273	-69.728584
1889.538574	-69.830345
1894.921875	-69.220757
1900.305176	-68.988670
1905.688477	-68.528954
1911.071777	-69.086288
1916.455078	-69.207390
1921.838379	-69.234810
1927.221680	-69.482361
1932.604980	-70.738380
1937.988281	-71.365494
1943.371582	-72.139755
1948.754883	-71.901398
1954.138184	-71.515518
1959.521484	-71.248383
1964.904785	-70.940292
1970.288086	-70.980278
1975.671387	-70.689140
1981.054688	-70.950233
1986.437988	-71.066841
1991.821289	-71.432442
1997.204590	-72.124077
2002.587891	-72.168198
2007.971191	-72.544708
2013.354492	-72.824539
2018.737793	-72.568161
2024.121094	-72.213295
2029.504395	-71.529831
2034.887695	-70.500244
2040.270996	-69.582344
2045.654297	-68.996719
2051.037598	-69.003395
2056.420898	-69.350319
2061.804199	-69.673805
2067.187500	-69.858627
2072.570801	-70.732605
2077.954102	-71.414932
2083.337402	-71.185913
2088.720703	-71.340759
2094.104004	-71.595047
2099.487305	-72.006882
2104.870605	-72.277687
2110.253906	-72.588646
2115.637207	-72.849701
2121.020508	-73.568626
2126.403809	-73.097687
2131.787109	-73.441383
2137.170410	-74.361671
2142.553711	-74.575073
2147.937012	-75.009857
2153.320312	-75.678802
2158.703613	-75.753036
2164.086914	-75.183159
2169.470215	-75.037880
2174.853516	-75.854118
2180.236816	-76.442467
2185.620117	-76.843857
2191.003418	-77.335068
2196.386719	-77.277649
2201.770020	-77.618759
2207.153320	-77.949455
2212.536621	-78.161957
2217.919922	-77.947075
2223.303223	-77.994713
2228.686523	-78.375458
2234.069824	-77.824020
2239.453125	-76.699608
2244.836426	-76.338043
2250.219727	-75.509399
2255.603027	-74.242882
2260.986328	-74.013931
2266.369629	-74.100426
2271.752930	-73.985970
2277.136230	-74.235634
2282.519531	-74.516685
2287.902832	-74.061516
2293.286133	-74.063187
2298.669434	-73.937714
2304.052734	-74.502747
2309.436035	-74.356026
2314.819336	-74.485092
2320.202637	-74.185585
2325.585938	-74.106758
2330.969238	-75.168495
2336.352539	-75.822639
2341.735840	-75.652580
2347.119141	-75.675957
2352.502441	-75.440399
2357.885742	-74.920547
2363.269043	-73.612259
2368.652344	-74.178825
2374.035645	-74.135513
2379.418945	-73.633011
2384.802246	-73.680733
2390.185547	-73.499069
2395.568848	-74.034630
2400.952148	-74.439354
2406.335449	-74.224586
2411.718750	-74.181976
2417.102051	-74.598465
2422.485352	-75.019836
2427.868652	-75.866524
2433.251953	-76.810493
2438.635254	-77.592163
2444.018555	-77.440239
2449.401855	-76.791718
2454.785156	-76.662178
2460.168457	-75.662697
2465.551758	-74.956978
2470.935059	-74.298851
2476.318359	-74.440086
2481.701660	-74.654816
2487.084961	-74.559303
2492.468262	-74.368744
2497.851562	-73.872513
2503.234863	-73.838379
2508.618164	-73.775826
2514.001465	-74.080940
2519.384766	-74.178093
2524.768066	-74.351463
2530.151367	-74.436951
2535.534668	-74.575935
2540.917969	-74.548149
2546.301270	-74.129204
2551.684570	-73.908943
2557.067871	-73.958656
2562.451172	-74.111542
2567.834473	-74.570534
2573.217773	-74.006058
2578.601074	-73.992378
2583.984375	-74.512611
2589.367676	-74.750458
2594.750977	-74.869820
2600.134277	-74.081810
2605.517578	-73.703781
2610.900879	-73.915779
2616.284180	-74.596832
2621.667480	-75.560112
2627.050781	-75.847694
2632.434082	-76.522606
2637.817383	-76.465027
2643.200684	-76.037872
2648.583984	-75.950661
2653.967285	-75.848511
2659.350586	-75.695526
2664.733887	-76.418739
2670.117188	-76.351097
2675.500488	-76.399139
2680.883789	-76.135429
2686.267090	-75.903107
2691.650391	-76.435890
2697.033691	-76.814926
2702.416992	-77.671890
2707.800293	-77.601349
2713.183594	-77.289398
2718.566895	-76.913986
2723.950195	-76.658630
2729.333496	-76.298561
2734.716797	-75.171326
2740.100098	-75.830772
2745.483398	-75.703995
2750.866699	-74.962807
2756.250000	-75.372688
2761.633301	-75.915886
2767.016602	-76.907143
2772.399902	-76.165298
2777.783203	-75.301109
2783.166504	-74.209404
2788.549805	-73.568237
2793.933105	-73.224648
2799.316406	-72.673203
2804.699707	-72.906036
2810.083008	-72.829109
2815.466309	-72.400917
2820.849609	-73.053154
2826.232910	-73.020004
2831.616211	-73.654045
2836.999512	-74.065491
2842.382812	-74.426041
2847.766113	-74.829742
2853.149414	-74.730377
2858.532715	-74.592628
2863.916016	-74.388298
2869.299316	-74.659607
2874.682617	-74.361763
2880.065918	-75.038132
2885.449219	-75.083656
2890.832520	-75.487846
2896.215820	-75.645950
2901.599121	-75.287178
2906.982422	-75.088600
2912.365723	-75.996948
2917.749023	-76.583908
2923.132324	-76.944366
2928.515625	-76.922409
2933.898926	-76.773872
2939.282227	-77.059303
