Frequency (Hz)	Level (dB)
5.383301	-76.530731
10.766602	-75.873833
16.149902	-64.936455
21.533203	-51.916569
26.916504	-53.298607
32.299805	-52.555092
37.683105	-50.788620
43.066406	-49.825207
48.449707	-49.720230
53.833008	-48.462955
59.216309	-50.727417
64.599609	-51.963154
69.982910	-49.497955
75.366211	-49.325237
80.749512	-52.129154
86.132812	-53.351025
91.516113	-54.090054
96.899414	-54.410954
102.282715	-54.530201
107.666016	-55.066624
113.049316	-55.368599
118.432617	-54.272053
123.815918	-57.544483
129.199219	-60.495605
134.582520	-60.713387
139.965820	-61.021332
145.349121	-60.812614
150.732422	-57.912289
156.115723	-61.074493
161.499023	-61.448551
166.882324	-61.751389
172.265625	-62.728920
177.648926	-62.466293
183.032227	-61.635544
188.415527	-59.453537
193.798828	-62.312328
199.182129	-62.537342
204.565430	-60.908981
209.948730	-63.001167
215.332031	-63.215267
220.715332	-60.246136
226.098633	-58.649200
231.481934	-58.401463
236.865234	-57.689278
242.248535	-57.864601
247.631836	-57.754002
253.015137	-57.936428
258.398438	-59.406803
263.781738	-59.875088
269.165039	-61.327042
274.548340	-61.566711
279.931641	-61.555771
285.314941	-62.067909
290.698242	-62.732464
296.081543	-62.993073
301.464844	-62.681248
306.848145	-63.025017
312.231445	-64.381920
317.614746	-64.719261
322.998047	-64.210579
328.381348	-64.481010
333.764648	-63.671120
339.147949	-63.689770
344.531250	-64.472404
349.914551	-63.859623
355.297852	-64.590988
360.681152	-63.681236
366.064453	-63.954079
371.447754	-63.979519
376.831055	-65.117432
382.214355	-65.797729
387.597656	-66.317749
392.980957	-67.522987
398.364258	-68.347488
403.747559	-68.855766
409.130859	-68.619827
414.514160	-68.032166
419.897461	-67.771919
425.280762	-67.709694
430.664062	-67.776764
436.047363	-68.739189
441.430664	-69.470612
446.813965	-69.789055
452.197266	-69.351952
457.580566	-69.385323
462.963867	-68.793732
468.347168	-68.541824
473.730469	-68.945839
479.113770	-67.970490
484.497070	-67.997673
489.880371	-68.811028
495.263672	-69.721603
500.646973	-69.183342
506.030273	-68.576988
